method,path,status,duration (ms)
POST,/login,200,288.2838
POST,/login,200,276.5441
POST,/login,200,280.8251
POST,/login,200,275.5401
POST,/login,200,277.1959
POST,/login,200,276.8090
GET,/libri,200,3.4382
POST,/login,200,250.8821
GET,/libri,200,2.7909
POST,/login,200,282.3682
POST,/login,200,234.3090
GET,/libri,200,1.9121
POST,/login,200,275.9039
POST,/login,200,233.1631
GET,/libri,200,2.1520
POST,/login,200,272.0063
POST,/login,200,234.9470
GET,/libri,200,2.1503
POST,/login,200,282.7773
POST,/login,200,236.2623
GET,/libri,200,1.6139
POST,/login,200,280.5569
POST,/login,200,233.5837
GET,/libri,200,2.4178
POST,/login,200,277.3283
GET,/libri,200,2.8608
POST,/login,200,233.4371
GET,/libri,200,2.5041
POST,/login,200,255.8498
GET,/libri,200,2.1358
POST,/login,200,235.9471
GET,/libri,200,1.8740
POST,/login,200,275.6650
GET,/libri,200,1.8580
POST,/login,200,233.3801
GET,/libri,200,2.9192
POST,/login,200,280.8309
POST,/login,200,231.9679
GET,/libri,200,2.7232
POST,/login,200,231.9767
GET,/libri,200,1.4858
POST,/login,200,276.4912
POST,/login,200,231.9431
GET,/libri,200,2.9640
POST,/login,200,230.7291
GET,/libri,200,2.0397
POST,/login,200,259.1610
POST,/login,200,232.2280
GET,/libri,200,2.8970
POST,/login,200,232.0910
GET,/libri,200,2.3248
POST,/login,200,275.3019
POST,/login,200,232.1920
GET,/libri,200,2.0261
POST,/login,200,230.6461
GET,/libri,200,2.9821
POST,/login,200,285.2981
POST,/login,200,241.8947
GET,/libri,200,2.4848
POST,/login,200,231.3988
GET,/libri,200,2.8300
POST,/login,200,279.4652
POST,/login,200,232.1641
GET,/libri,200,2.8710
POST,/login,200,230.9382
GET,/libri,200,2.7788
GET,/libri,200,1.6639
POST,/login,200,284.6868
POST,/login,200,240.9790
GET,/libri,200,1.5790
POST,/login,200,232.4202
GET,/libri,200,1.4079
GET,/libri,200,1.0958
POST,/login,200,278.9998
POST,/login,200,244.0531
GET,/libri,200,3.5050
POST,/login,200,240.3181
GET,/libri,200,2.6257
GET,/libri,200,1.7819
POST,/login,200,280.1630
POST,/login,200,385.2527
GET,/libri,200,1.9732
POST,/login,200,232.3730
GET,/libri,200,2.1560
GET,/libri,200,1.4729
POST,/login,200,240.6719
POST,/login,200,237.7541
GET,/libri,200,1.9050
POST,/login,200,237.0300
GET,/libri,200,1.9050
GET,/libri,200,1.3521
POST,/login,200,278.4791
POST,/login,200,232.8670
GET,/libri,200,2.7831
GET,/libri,200,0.9437
GET,/libri,200,3.1579
POST,/login,200,244.9059
POST,/login,200,231.6949
GET,/libri,200,3.0069
GET,/libri,200,2.3921
GET,/libri,200,4.4141
POST,/login,200,275.3243
POST,/login,200,232.6150
GET,/libri,200,2.7192
GET,/libri,200,2.8141
GET,/libri,200,4.4320
POST,/login,200,277.2791
POST,/login,200,231.4200
GET,/libri,200,1.7200
GET,/libri,200,2.4309
GET,/libri,200,3.8531
POST,/login,200,277.6959
POST,/login,200,233.1319
GET,/libri,200,2.8539
GET,/libri,200,1.7419
GET,/libri,200,2.9500
POST,/login,200,284.5540
POST,/login,200,239.4311
GET,/libri,200,2.4929
GET,/libri,200,1.8420
POST,/login,200,278.9853
POST,/login,200,232.2249
GET,/libri,200,2.9602
GET,/libri,200,1.9040
POST,/login,200,276.7348
GET,/libri,200,2.3222
GET,/libri,200,47.3721
POST,/login,200,274.8408
GET,/libri,200,3.0699
GET,/libri,200,3.9110
POST,/login,200,277.4830
GET,/libri,200,3.1199
GET,/libri,200,2.8400
POST,/login,200,277.4291
GET,/libri,200,2.1780
GET,/libri,200,1.7469
POST,/login,200,277.4830
GET,/libri,200,2.6951
GET,/libri,200,2.6619
POST,/login,200,250.4120
POST,/login,200,231.7500
GET,/libri,200,2.7142
POST,/login,200,273.4339
POST,/login,200,232.6050
GET,/libri,200,3.0370
POST,/login,200,276.1998
POST,/login,200,232.0809
GET,/libri,200,3.3152
POST,/login,200,276.7398
GET,/libri,200,3.1378
POST,/login,200,275.4209
GET,/libri,200,2.8980
POST,/login,200,277.2343
GET,/libri,200,2.7401
GET,/libri,200,2.1544
POST,/login,200,256.8591
GET,/libri,200,2.1608
GET,/libri,200,4.8029
POST,/login,200,276.2020
GET,/libri,200,1.9112
GET,/libri,200,3.2742
POST,/login,200,272.1260
POST,/login,200,263.3531
GET,/libri,200,2.9788
POST,/login,200,278.3020
POST,/login,200,266.9010
GET,/libri,200,2.5599
POST,/login,200,281.9538
POST,/login,200,264.9729
